Product name,Brand,GTIN,Ordinary Price,Active Promotion Price,Min Quantity,Total for x items
"Honungsmelon, Klass 1",,"=""2090193600000""",54.95,N/A,N/A,N/A
Tändvätska T-Gul,KEMETYL,"=""7041068131513""",54.95,49.95,1,49.95
Delikatessköttbullar,SCAN,"=""7300201375000""",64.95,N/A,N/A,N/A
Baguetter 8-Pack,CITY GROSS,"=""2000994400006""",44.95,N/A,N/A,N/A
Grekisk Sallad,MANUELL DELIKATESS,"=""2000281500006""",75,N/A,N/A,N/A
"Blåbär, Fryst EKO KRAV",GARANT EKO,"=""7340083443091""",20.95,N/A,N/A,N/A
Pesto Genovese,ZETA,"=""73517573""",43.95,N/A,N/A,N/A
Mangoraja Kall Sås,RYDBERGS,"=""7313161404987""",27.95,24.95,1,24.95
"Jordgubbar EKO KRAV, Fryst",GARANT EKO,"=""7340083461170""",19.95,N/A,N/A,N/A
Cider Päron Alkoholfri,HERRLJUNGA,"=""7312720022235""",17.95,N/A,N/A,N/A
