Product name,Brand,GTIN,Ordinary Price,Active Promotion Price,Min Quantity,Total for x items
"Glass Caramel, Fryst",DAZZLEY,"=""7311041081211""",30.95,N/A,N/A,N/A
Tofu Bokspånsrökt,ELDORADO,"=""7340083497162""",14.5,N/A,N/A,N/A
Deospray Kvinna,MEVOLUTION,"=""7340083489280""",28.95,N/A,N/A,N/A
Salladsdressing Vitlök,ELDORADO,"=""7311041020203""",22.5,N/A,N/A,N/A
"Bladdeg, Fryst",ELDORADO,"=""7311041009536""",20.95,N/A,N/A,N/A
Mostråg 16x19cm,ELDORADO,"=""7311043000029""",34.95,N/A,N/A,N/A
Maasdamer Skivad,FRISCHGOLD,"=""7340083426643""",28.5,N/A,N/A,N/A
Våtservetter,MEVOLUTION,"=""7340083493829""",19.95,N/A,N/A,N/A
Stilla Vatten,PREMIER,"=""7611612514125""",7.95,N/A,N/A,N/A
Rakhyvelset Dam,MEVOLUTION,"=""7340083489426""",54.95,N/A,N/A,N/A
Powerking Bcaa Falsterbo Pear/Gooseberry,POWERKING,"=""7611612222198""",12.95,N/A,N/A,N/A
Hårvax,ELDORADO,"=""7311041024997""",30.95,N/A,N/A,N/A
Drömrulltårta,ELDORADO,"=""7340083492013""",22.95,N/A,N/A,N/A
Hudlotion Återfuktande,ELDORADO,"=""7340083489549""",17.5,N/A,N/A,N/A
Kalamonoliver,ELDORADO,"=""7340083474231""",26.95,N/A,N/A,N/A
Hallondryck,PREMIER,"=""7340083474125""",6.5,N/A,N/A,N/A
Pärondryck Mindre Socker,PREMIER,"=""7340083474149""",6.5,N/A,N/A,N/A
Cheddar Vit 32% Skivad,FRISCHGOLD,"=""7340083435461""",28.5,N/A,N/A,N/A
Marshmallows Mega Xxl,DAZZLEY,"=""7311041082638""",18.95,N/A,N/A,N/A
"Pinklax, Fryst",OMEGA,"=""7611612800150""",119,N/A,N/A,N/A
Fruktdryck Rabarber/Jordgubb,PREMIER,"=""7611612524575""",16.95,N/A,N/A,N/A
Ölkorv Vitlök,PRIME PATROL,"=""7340083457197""",10.95,N/A,N/A,N/A
Ölkorv Vitlök,PRIME PATROL,"=""7340083457203""",29.95,N/A,N/A,N/A
Rakblad Refill Herr 3-Pack,MEVOLUTION,"=""7340083489402""",45.95,N/A,N/A,N/A
Ölkorv Original,PRIME PATROL,"=""7340083457166""",29.95,N/A,N/A,N/A
Ölkorv Chili,PRIME PATROL,"=""7340083457180""",29.95,N/A,N/A,N/A
Fruktdryck Päron,PREMIER,"=""7611612524544""",16.95,N/A,N/A,N/A
Ölkorv Chili,PRIME PATROL,"=""7340083457173""",10.95,N/A,N/A,N/A
Fruktdryck Blåbär/Lime,PREMIER,"=""7611612524582""",16.95,N/A,N/A,N/A
Kolsyrat Vatten Citron 6-Pack,PREMIER,"=""7611612520157""",45.95,N/A,N/A,N/A
Apelsindryck,PREMIER,"=""7340083474132""",6.5,N/A,N/A,N/A
Ölkorv Original,PRIME PATROL,"=""7340083457159""",10.95,N/A,N/A,N/A
Kolsyrat Vatten Melon,PREMIER,"=""7611612404129""",7.95,N/A,N/A,N/A
Cashew Rostade & Saltade,PRIMA,"=""7350054796859""",69.95,29.95,1,29.95
Bryggkaffe Mellanrost,GEVALIA,"=""8711000530085""",53.95,49.5,2,99.0
Magnetiskt Hockeyspel,ASMODEE,"=""5714293001594""",249,99.95,1,99.95
Chokladkaka Oreo Sandwich,MARABOU,"=""7622201437381""",15.5,12.5,2,25.0
"Banan, Klass 1 EKO",,"=""2090165400003""",28.95,N/A,N/A,N/A
"Clementiner I Nät, Klass 1",TESORO,"=""8428775018273""",54.95,39.95,1,39.95
Baguette,CITY GROSS,"=""8353""",10.95,8.33,3,24.99
Hamburgare 4-Pack,DALSJÖFORS,"=""7300300046665""",62.95,N/A,N/A,N/A
Barnens Grillkorv,LITHELLS,"=""7310628008924""",28.95,N/A,N/A,N/A
"Päron Conference, Klass 1",,"=""2090205800008""",36.95,N/A,N/A,N/A
"Kiwi, Klass 1",,"=""74030""",8.95,8,3,24.0
"Pizza Slice Kebab, Fryst",DR. OETKER,"=""4001724042594""",19.95,9.95,1,9.95
Grillad Rostbiff,MANUELL DELIKATESS,"=""2090945400001""",449,349.5,1,349.5
Laxtournedo Med Räksmak,MANUELL DELIKATESS,"=""2000275300001""",79.95,N/A,N/A,N/A
Sockerbulle,CITY GROSS,"=""2000922700000""",10.95,8.74,4,34.96
Grillbriketter,FIXA,"=""7340083498053""",99.95,89.95,1,89.95
"X-Tra Allt Kebab, Fryst",GRANDIOSA,"=""7310240071849""",43.95,39.5,2,79.0
